r1 void vitreous
5.62000 1.05838 1.42881
5.63000 1.05827 1.42867
5.64000 1.05817 1.42852
5.65000 1.05806 1.42838
5.66000 1.05795 1.42824
5.67000 1.05785 1.42810
5.68000 1.05774 1.42795
5.69000 1.05764 1.42781
5.70000 1.05753 1.42767
5.71000 1.05743 1.42753
5.72000 1.05733 1.42739
5.73000 1.05722 1.42725
5.74000 1.05712 1.42711
5.75000 1.05702 1.42697
5.76000 1.05692 1.42684
5.77000 1.05681 1.42670
5.78000 1.05671 1.42656
5.79000 1.05661 1.42643
5.80000 1.05651 1.42629
5.81000 1.05641 1.42616
5.82000 1.05631 1.42602
5.83000 1.05621 1.42589
5.84000 1.05611 1.42575
5.85000 1.05601 1.42562
5.86000 1.05591 1.42549
5.87000 1.05582 1.42535
5.88000 1.05572 1.42522
5.89000 1.05562 1.42509
5.90000 1.05552 1.42496
5.91000 1.05543 1.42483
5.92000 1.05533 1.42470
5.93000 1.05523 1.42457
5.94000 1.05514 1.42444
5.95000 1.05504 1.42431
5.96000 1.05495 1.42418
5.97000 1.05485 1.42405
5.98000 1.05476 1.42392
5.99000 1.05466 1.42380
6.00000 1.05457 1.42367
6.01000 1.05448 1.42354
6.02000 1.05438 1.42342
6.03000 1.05429 1.42329
6.04000 1.05420 1.42317
6.05000 1.05411 1.42304
6.06000 1.05401 1.42292
6.07000 1.05392 1.42280
6.08000 1.05383 1.42267
6.09000 1.05374 1.42255
6.10000 1.05365 1.42243
6.11000 1.05356 1.42231
6.12000 1.05347 1.42218
6.13000 1.05338 1.42206
6.14000 1.05329 1.42194
6.15000 1.05320 1.42182
6.16000 1.05311 1.42170
6.17000 1.05302 1.42158
6.18000 1.05294 1.42146
6.19000 1.05285 1.42134
6.20000 1.05276 1.42123
6.21000 1.05267 1.42111
6.22000 1.05259 1.42099
6.23000 1.05250 1.42087
6.24000 1.05241 1.42076
6.25000 1.05233 1.42064
6.26000 1.05224 1.42052
6.27000 1.05215 1.42041
6.28000 1.05207 1.42029
6.29000 1.05198 1.42018
6.30000 1.05190 1.42006
6.31000 1.05181 1.41995
6.32000 1.05173 1.41983
6.33000 1.05165 1.41972
6.34000 1.05156 1.41961
6.35000 1.05148 1.41950
6.36000 1.05140 1.41938
6.37000 1.05131 1.41927
6.38000 1.05123 1.41916
6.39000 1.05115 1.41905
6.40000 1.05106 1.41894
6.41000 1.05098 1.41883
6.42000 1.05090 1.41872
6.43000 1.05082 1.41861
6.44000 1.05074 1.41850
6.45000 1.05066 1.41839
6.46000 1.05058 1.41828
6.47000 1.05050 1.41817
6.48000 1.05042 1.41806
6.49000 1.05034 1.41796
6.50000 1.05026 1.41785
6.51000 1.05018 1.41774
6.52000 1.05010 1.41763
6.53000 1.05002 1.41753
6.54000 1.04994 1.41742
6.55000 1.04986 1.41732
6.56000 1.04979 1.41721
6.57000 1.04971 1.41711
6.58000 1.04963 1.41700
6.59000 1.04955 1.41690
6.60000 1.04948 1.41679
6.61000 1.04940 1.41669
6.62000 1.04932 1.41658
6.63000 1.04925 1.41648
6.64000 1.04917 1.41638
6.65000 1.04909 1.41628
6.66000 1.04902 1.41617
6.67000 1.04894 1.41607
6.68000 1.04887 1.41597
6.69000 1.04879 1.41587
6.70000 1.04872 1.41577
6.71000 1.04864 1.41567
6.72000 1.04857 1.41557
6.73000 1.04849 1.41547
6.74000 1.04842 1.41537
6.75000 1.04835 1.41527
6.76000 1.04827 1.41517
6.77000 1.04820 1.41507
6.78000 1.04813 1.41497
6.79000 1.04805 1.41487
6.80000 1.04798 1.41478
6.81000 1.04791 1.41468
6.82000 1.04784 1.41458
6.83000 1.04777 1.41448
6.84000 1.04769 1.41439
6.85000 1.04762 1.41429
6.86000 1.04755 1.41420
6.87000 1.04748 1.41410
6.88000 1.04741 1.41400
6.89000 1.04734 1.41391
6.90000 1.04727 1.41381
6.91000 1.04720 1.41372
6.92000 1.04713 1.41362
6.93000 1.04706 1.41353
6.94000 1.04699 1.41344
6.95000 1.04692 1.41334
6.96000 1.04685 1.41325
6.97000 1.04678 1.41316
6.98000 1.04671 1.41306
6.99000 1.04665 1.41297
7.00000 1.04658 1.41288
7.01000 1.04651 1.41279
7.02000 1.04644 1.41270
7.03000 1.04637 1.41260
7.04000 1.04631 1.41251
7.05000 1.04624 1.41242
7.06000 1.04617 1.41233
7.07000 1.04610 1.41224
7.08000 1.04604 1.41215
7.09000 1.04597 1.41206
7.10000 1.04590 1.41197
7.11000 1.04584 1.41188
7.12000 1.04577 1.41179
7.13000 1.04571 1.41170
7.14000 1.04564 1.41162
7.15000 1.04558 1.41153
7.16000 1.04551 1.41144
7.17000 1.04545 1.41135
7.18000 1.04538 1.41126
7.19000 1.04532 1.41118
7.20000 1.04525 1.41109
7.21000 1.04519 1.41100
7.22000 1.04512 1.41092
7.23000 1.04506 1.41083
7.24000 1.04500 1.41074
7.25000 1.04493 1.41066
7.26000 1.04487 1.41057
7.27000 1.04481 1.41049
7.28000 1.04474 1.41040
7.29000 1.04468 1.41032
7.30000 1.04462 1.41023
7.31000 1.04455 1.41015
7.32000 1.04449 1.41006
7.33000 1.04443 1.40998
7.34000 1.04437 1.40990
7.35000 1.04431 1.40981
7.36000 1.04424 1.40973
7.37000 1.04418 1.40965
7.38000 1.04412 1.40956
7.39000 1.04406 1.40948
7.40000 1.04400 1.40940
7.41000 1.04394 1.40932
7.42000 1.04388 1.40923
7.43000 1.04382 1.40915
7.44000 1.04376 1.40907
7.45000 1.04370 1.40899
7.46000 1.04364 1.40891
7.47000 1.04358 1.40883
7.48000 1.04352 1.40875
7.49000 1.04346 1.40867
7.50000 1.04340 1.40859
7.51000 1.04334 1.40851
7.52000 1.04328 1.40843
7.53000 1.04322 1.40835
7.54000 1.04316 1.40827
7.55000 1.04310 1.40819
7.56000 1.04305 1.40811
7.57000 1.04299 1.40803
7.58000 1.04293 1.40796
7.59000 1.04287 1.40788
7.60000 1.04281 1.40780
7.61000 1.04276 1.40772
7.62000 1.04270 1.40764
7.63000 1.04264 1.40757
7.64000 1.04259 1.40749
